time_ms,signal_V
1.383119999999999834e+02,-2.673251818575861360e-03
1.383181199999999933e+02,-3.183155498407863604e-03
1.383242399999999748e+02,-2.649822158407866279e-03
1.383303600000000131e+02,-2.832378260201190434e-03
1.383364800000000230e+02,-3.459430240692451530e-03
1.383426000000000045e+02,-3.192763570692452868e-03
1.383487200000000144e+02,-3.092211279330736584e-03
1.383548399999999958e+02,-2.649822158407866279e-03
1.383609600000000057e+02,-2.603939073827332695e-03
1.383670800000000156e+02,-2.373547415087218226e-03
1.383731999999999971e+02,-2.640214085087216889e-03
1.383793200000000070e+02,-3.120522118510798970e-03
1.383854399999999885e+02,-3.192763570692452868e-03
1.383915599999999984e+02,-3.459430240692451530e-03
1.383976800000000082e+02,-3.034613364860744289e-03
1.384037999999999897e+02,-2.921524292719024363e-03
1.384099199999999996e+02,-3.104234680295997473e-03
1.384160399999999811e+02,-3.107009102723712335e-03
1.384221599999999910e+02,-2.737837669115172901e-03
1.384282800000000009e+02,-3.949809203719317763e-03
1.384344000000000108e+02,-2.651928915168910716e-03
1.384405200000000207e+02,-3.416630149776361813e-03
1.384466400000000021e+02,-3.234074047298668431e-03
1.384527600000000120e+02,-2.985133907557474542e-03
1.384588799999999935e+02,-2.791684925716797494e-03
1.384650000000000034e+02,-3.440214095087212876e-03
1.384711200000000133e+02,-3.173547425087214213e-03
1.384772399999999948e+02,-3.094472321875180176e-03
1.384833600000000047e+02,-2.578865512328054610e-03
1.384894799999999861e+02,-2.936476401495941024e-03
1.384955999999999960e+02,-3.167690010046381177e-03
1.385017200000000059e+02,-2.660869322872183584e-03
1.385078399999999874e+02,-2.897272681766566160e-03
1.385139599999999973e+02,-2.897272681766566160e-03
1.385200799999999788e+02,-3.061280303242014389e-03
1.385261999999999887e+02,-2.900201389807316454e-03
1.385323199999999986e+02,-2.620997939481978234e-03
1.385384400000000085e+02,-2.703001749913586105e-03
1.385445600000000184e+02,-2.575936804811940206e-03
1.385506799999999998e+02,-2.409000476538858404e-03
1.385568000000000097e+02,-3.173547425087214213e-03
1.385629200000000196e+02,-2.409000476536804491e-03
1.385690400000000011e+02,-3.187664609481971612e-03
1.385751600000000110e+02,-2.426727006899304095e-03
1.385812799999999925e+02,-2.678595853540383098e-03
1.385874000000000024e+02,-2.884735901443558070e-03
1.385935199999999838e+02,-2.456990318004198537e-03
1.385996399999999937e+02,-2.620997939481978234e-03
1.386057600000000036e+02,-2.887664609481976896e-03
1.386118799999999851e+02,-3.157401298376355525e-03
1.386179999999999950e+02,-2.341428400202932858e-03
1.386241199999999765e+02,-1.794704073694641799e-03
1.386302399999999864e+02,-3.002250290751407036e-03
1.386363599999999963e+02,-3.463939351766559538e-03
1.386424800000000062e+02,-3.390875949343508111e-03
1.386486000000000161e+02,-3.320586969111638531e-03
1.386547199999999975e+02,-3.418056267789876257e-03
1.386608400000000074e+02,-3.743297088043939791e-03
1.386669600000000173e+02,-2.671916488373060616e-03
1.386730799999999988e+02,-3.154472590849305424e-03
1.386792000000000087e+02,-2.911389866161323559e-03
1.386853199999999902e+02,-2.078056526161331519e-03
1.386914400000000001e+02,-3.138852817375498150e-03
1.386975600000000099e+02,-2.762391871319769265e-03
1.387036799999999914e+02,-2.694453706647115254e-03
1.387098000000000013e+02,-1.903098507858830279e-03
1.387159199999999828e+02,-2.867247450702631317e-03
1.387220399999999927e+02,-2.600580780702632655e-03
1.387281600000000026e+02,-2.537125450965266316e-03
1.387342799999999841e+02,-2.401062580365237453e-03
1.387404000000000224e+02,-2.592719355703432260e-03
1.387465200000000038e+02,-2.363721559454329268e-03
1.387526400000000137e+02,-3.080554981559180394e-03
1.387587599999999952e+02,-2.911389866161323559e-03
1.387648800000000051e+02,-2.611389866161328843e-03
1.387710000000000150e+02,-2.744453537574881308e-03
1.387771199999999965e+02,-2.746194206279056749e-03
1.387832400000000064e+02,-2.883843459756757488e-03
1.387893599999999878e+02,-3.046598530482308442e-03
1.387954799999999977e+02,-2.911178063488006895e-03
1.388016000000000076e+02,-3.189771366267302177e-03
1.388077199999999891e+02,-3.172044836008108826e-03
1.388138399999999990e+02,-2.958525501820491455e-03
1.388199599999999805e+02,-2.600580780702632655e-03
1.388260799999999904e+02,-3.334896674196369259e-03
1.388322000000000003e+02,-3.178056536161322221e-03
1.388383199999999817e+02,-3.181261558618725394e-03
1.388444400000000201e+02,-2.954286725753346721e-03
1.388505600000000015e+02,-3.281203703189045084e-03
1.388566800000000114e+02,-3.412353138270263209e-03
1.388628000000000213e+02,-2.894915886365423408e-03
