% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 1 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 186.2 ms, time offset -178.9 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 1.200 0 Vpp, offset 21.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 15:36:45 -0500
% Time (s), Channel A (V), Channel B (V)
7.5753120000e-02, 1.3746666519e+00, -5.7616667307e-01
7.5766136000e-02, 1.3693333187e+00, -5.7650000641e-01
7.5779152000e-02, 1.3719999853e+00, -5.7680000641e-01
7.5792168000e-02, 1.3666666520e+00, -5.7710000642e-01
7.5805184000e-02, 1.3666666520e+00, -5.7743333975e-01
7.5818200000e-02, 1.3693333187e+00, -5.7773333976e-01
7.5831216000e-02, 1.3693333187e+00, -5.7803333976e-01
7.5844232000e-02, 1.3666666520e+00, -5.7836667310e-01
7.5857248000e-02, 1.3666666520e+00, -5.7866667310e-01
7.5870264000e-02, 1.3693333187e+00, -5.7896667310e-01
7.5883280000e-02, 1.3719999853e+00, -5.7873333977e-01
7.5896296000e-02, 1.3639999854e+00, -5.7840000643e-01
7.5909312000e-02, 1.3666666520e+00, -5.7810000643e-01
7.5922328000e-02, 1.3693333187e+00, -5.7776667309e-01
7.5935344000e-02, 1.3666666520e+00, -5.7746667309e-01
7.5948360000e-02, 1.3666666520e+00, -5.7716667308e-01
7.5961376000e-02, 1.3666666520e+00, -5.7683333975e-01
7.5974392000e-02, 1.3666666520e+00, -5.7653333974e-01
7.5987408000e-02, 1.3666666520e+00, -5.7623333974e-01
7.6000424000e-02, 1.3666666520e+00, -5.7590000640e-01
7.6013440000e-02, 1.3693333187e+00, -5.7560000640e-01
7.6026456000e-02, 1.3666666520e+00, -5.7526667306e-01
7.6039472000e-02, 1.3693333187e+00, -5.7496667306e-01
7.6052488000e-02, 1.3693333187e+00, -5.7466667306e-01
7.6065504000e-02, 1.3666666520e+00, -5.7433333972e-01
7.6078520000e-02, 1.3666666520e+00, -5.7403333972e-01
7.6091536000e-02, 1.3666666520e+00, -5.7373333971e-01
7.6104552000e-02, 1.3666666520e+00, -5.7340000637e-01
7.6117568000e-02, 1.3613333188e+00, -5.7310000637e-01
7.6130584000e-02, 1.3639999854e+00, -5.7276667303e-01
7.6143600000e-02, 1.3666666520e+00, -5.7246667303e-01
7.6156616000e-02, 1.3666666520e+00, -5.7216667303e-01
7.6169632000e-02, 1.3666666520e+00, -5.7183333969e-01
7.6182648000e-02, 1.3639999854e+00, -5.7153333969e-01
7.6195664000e-02, 1.3693333187e+00, -5.7123333968e-01
7.6208680000e-02, 1.3639999854e+00, -5.7090000635e-01
7.6221696000e-02, 1.3639999854e+00, -5.7060000634e-01
7.6234712000e-02, 1.3666666520e+00, -5.7030000634e-01
7.6247728000e-02, 1.3639999854e+00, -5.6996667300e-01
7.6260744000e-02, 1.3666666520e+00, -5.6966667300e-01
7.6273760000e-02, 1.3693333187e+00, -5.6936667300e-01
7.6286776000e-02, 1.3639999854e+00, -5.6903333966e-01
7.6299792000e-02, 1.3613333188e+00, -5.6873333966e-01
7.6312808000e-02, 1.3639999854e+00, -5.6840000632e-01
7.6325824000e-02, 1.3639999854e+00, -5.6810000632e-01
7.6338840000e-02, 1.3639999854e+00, -5.6776667298e-01
7.6351856000e-02, 1.3639999854e+00, -5.6746667298e-01
7.6364872000e-02, 1.3639999854e+00, -5.6716667297e-01
7.6377888000e-02, 1.3639999854e+00, -5.6683333964e-01
7.6390904000e-02, 1.3666666520e+00, -5.6653333963e-01
7.6403920000e-02, 1.3666666520e+00, -5.6623333963e-01
7.6416936000e-02, 1.3666666520e+00, -5.6590000629e-01
7.6429952000e-02, 1.3693333187e+00, -5.6560000629e-01
7.6442968000e-02, 1.3666666520e+00, -5.6530000628e-01
7.6455984000e-02, 1.3666666520e+00, -5.6496667295e-01
7.6469000000e-02, 1.3666666520e+00, -5.6466667294e-01
7.6482016000e-02, 1.3666666520e+00, -5.6436667294e-01
7.6495032000e-02, 1.3666666520e+00, -5.6403333960e-01
7.6508048000e-02, 1.3693333187e+00, -5.6373333960e-01
7.6521064000e-02, 1.3666666520e+00, -5.6343333960e-01
7.6534080000e-02, 1.3666666520e+00, -5.6310000626e-01
7.6547096000e-02, 1.3693333187e+00, -5.6276667292e-01
7.6560112000e-02, 1.3666666520e+00, -5.6246667292e-01
7.6573128000e-02, 1.3693333187e+00, -5.6216667292e-01
7.6586144000e-02, 1.3613333188e+00, -5.6183333958e-01
7.6599160000e-02, 1.3666666520e+00, -5.6153333958e-01
7.6612176000e-02, 1.3693333187e+00, -5.6123333957e-01
7.6625192000e-02, 1.3693333187e+00, -5.6090000624e-01
7.6638208000e-02, 1.3693333187e+00, -5.6060000623e-01
7.6651224000e-02, 1.3693333187e+00, -5.6030000623e-01
7.6664240000e-02, 1.3666666520e+00, -5.5996667289e-01
7.6677256000e-02, 1.3693333187e+00, -5.5966667289e-01
7.6690272000e-02, 1.3666666520e+00, -5.5936667289e-01
7.6703288000e-02, 1.3666666520e+00, -5.5903333955e-01
7.6716304000e-02, 1.3719999853e+00, -5.5873333955e-01
