% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 257.6 ms, time offset -123.3 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level -2.263 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 53.0 mVpp, offset -149.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 17:30:10 -0500
% Time (s), Channel A (V), Channel B (V)
-1.7935968000e-02, 7.5566667507e-02, -1.4643333496e-01
-1.7917960000e-02, 7.5566667507e-02, -1.4643333496e-01
-1.7899952000e-02, 7.5000000834e-02, -1.4640000163e-01
-1.7881944000e-02, 7.5566667507e-02, -1.4636666829e-01
-1.7863936000e-02, 7.5566667507e-02, -1.4636666829e-01
-1.7845928000e-02, 7.5566667507e-02, -1.4633333496e-01
-1.7827920000e-02, 7.5266667503e-02, -1.4633333496e-01
-1.7809912000e-02, 7.6100000846e-02, -1.4630000163e-01
-1.7791904000e-02, 7.5566667507e-02, -1.4630000163e-01
-1.7773896000e-02, 7.5833334176e-02, -1.4626666829e-01
-1.7755888000e-02, 7.6100000846e-02, -1.4623333496e-01
-1.7737880000e-02, 7.5833334176e-02, -1.4623333496e-01
-1.7719872000e-02, 7.6100000846e-02, -1.4620000163e-01
-1.7701864000e-02, 7.5833334176e-02, -1.4620000163e-01
-1.7683856000e-02, 7.6100000846e-02, -1.4616666829e-01
-1.7665848000e-02, 7.5833334176e-02, -1.4616666829e-01
-1.7647840000e-02, 7.6366667516e-02, -1.4613333496e-01
-1.7629832000e-02, 7.6100000846e-02, -1.4610000162e-01
-1.7611824000e-02, 7.5833334176e-02, -1.4610000162e-01
-1.7593816000e-02, 7.6366667516e-02, -1.4606666829e-01
